Element Name,Superfamily/Family,Host Species,Clade,Cluster/Genus,Branch/Class,Notes
17.6,Ty3/Gypsy,Drosophila melanogaster,17.6,Errantiviridae,Branch 2,
297,Ty3/Gypsy,Drosophila melanogaster,17.6,Errantiviridae,Branch 2,
412,Ty3/Gypsy,Drosophila melanogaster,412/Mdg1,Undetermined,Branch 2,
Amn-ichi,Ty3/Gypsy,Anolis carolinensis,V-clade,Fungi and vertebrates,Chromoviruses,
Amn-ni,Ty3/Gypsy,Danio rerio,V-clade,Fungi and vertebrates,Chromoviruses,
Amn-san,Ty3/Gypsy,Xenopus (Silurana) tropicalis,V-clade,Fungi and vertebrates,Chromoviruses,
Athila4-1,Ty3/Gypsy,Arabidopsis thaliana,Athila,Athila/Tat,Branch 2,
B1147A04.5,Ty3/Gypsy,Oryza sativa,Tat,Athila/Tat,Branch 2,
Bagy-1,Ty3/Gypsy,Hordeum vulgare,Del,Plants,Chromoviruses,
Bagy-2,Ty3/Gypsy,Hordeum vulgare,Athila,Athila/Tat,Branch 2,
Beetle1,Ty3/Gypsy,Beta vulgaris,CRM,Plants,Chromoviruses,
Blastopia,Ty3/Gypsy,Drosophila melanogaster,Micropia/Mdg3,Undetermined,Branch 2,
Boudicca,Ty3/Gypsy,Schistosoma mansoni,CsRN1,Undetermined,Branch 2,
Burdock,Ty3/Gypsy,Drosophila melanogaster,Gypsy,Errantiviridae,Branch 2,
Calypso,Ty3/Gypsy,Glycine max,Athila,Athila/Tat,Branch 2,
Cer1,Ty3/Gypsy,Caenorhabditis elegans,Cer1,Undetermined,Branch 2,
Cer2,Ty3/Gypsy,Caenorhabditis elegans,Cer2-3,Undetermined,Branch 2,
Cer3,Ty3/Gypsy,Caenorhabditis elegans,Cer2-3,Undetermined,Branch 2,
Cer4,Ty3/Gypsy,Caenorhabditis elegans,B-clade,Mag,Branch 2,
Cer5,Ty3/Gypsy,Caenorhabditis elegans,B-clade,Mag,Branch 2,
Cer6,Ty3/Gypsy,Caenorhabditis elegans,B-clade,Mag,Branch 2,
Cereba,Ty3/Gypsy,Hordeum vulgare,CRM,Plants,Chromoviruses,
CFG1,Ty3/Gypsy,Chlamys farresi,A-clade,Mag,Branch 2,
Cft-1,Ty3/Gypsy,Cladosporium fulvum,Pyret,Fungi and vertebrates,Chromoviruses,
Cgret,Ty3/Gypsy,Colletotrichum gloeosporioides,Pyret,Fungi and vertebrates,Chromoviruses,
Cigr-1,Ty3/Gypsy,Ciona intestinalis,Cigr-1,Undetermined,Branch 2,
Cinful-1,Ty3/Gypsy,Zea mays,Tat,Athila/Tat,Branch 2,
