,Name,LLPS_Score
0,Tom,0.485
1,297,0.44
2,17.6,0.415
3,Yoyo,0.37
4,HMS-Beagle,0.47
5,Nomad,0.62
6,EFV,0.655
7,BFV,0.695
8,FFV,0.615
