tip	gag_len	mean_disorder	frac_disordered	longest_idr	n_idr	nterm40_disorder
17.6	439	0.5673	0.5581	245	1	0.3464
1731	273	0.3404	0.3333	91	1	0.2618
297	414	0.5411	0.5266	218	1	0.1347
412	687	0.4322	0.4294	112	4	0.4788
ASSBSV	749	0.557	0.5888	291	2	0.3445
Amn-ichi	328	0.2719	0.2591	36	3	0.3513
Amn-ni	330	0.3555	0.3515	74	2	0.2805
Amn-san	346	0.3634	0.4277	110	2	0.2761
Araco	320	0.3309	0.3594	102	2	0.2541
Athila4-1	615	0.5807	0.6276	157	3	0.7988
B1147A04.5	339	0.5179	0.5841	160	2	0.8472
BAEVM	518	0.3532	0.3185	119	2	0.2521
BFV	544	0.4788	0.5018	172	3	0.1583
BIV	449	0.2506	0.2294	67	2	0.1805
BLV	392	0.3036	0.3036	68	3	0.6144
Bagy-1	334	0.3836	0.3922	96	2	0.7845
Bagy-2	386	0.1491	0.0648	25	1	0.5719
Batata	276	0.3626	0.3442	95	1	0.3758
Beetle1	359	0.3321	0.2674	53	2	0.3248
Bel	268	0.1568	0.0858	23	1	0.2173
Blastopia	318	0.2515	0.1698	54	1	0.7833
Boudicca	274	0.305	0.2555	70	1	0.2173
Burdock	497	0.4377	0.4748	194	2	0.6829
CAEV	426	0.1744	0.0	0	0	0.2168
CFG1	298	0.3067	0.2517	49	2	0.2795
CRM	408	0.4095	0.4191	96	3	0.5486
Calypso5-1	427	0.2695	0.2272	97	1	0.1165
Cer1	733	0.4456	0.4175	130	4	0.843
Cer10-1	360	0.3561	0.2639	95	1	0.3481
Cer2	613	0.4448	0.5155	141	3	0.599
Cer3	514	0.4354	0.4747	104	3	0.8666
Cer4	311	0.2444	0.3666	77	2	0.4821
Cer5	264	0.344	0.3674	81	2	0.4894
Cer6	364	0.2952	0.2665	80	2	0.3229
Cer7	265	0.1435	0.0717	19	1	0.121
Cereba	382	0.4818	0.5942	196	2	0.7437
Cft-1	639	0.4895	0.5055	297	2	0.1733
Cgret	837	0.4957	0.4946	223	4	0.9383
Cico1	255	0.2029	0.102	26	1	0.303
Cigr-1	300	0.322	0.27	38	3	0.3467
Circe	299	0.303	0.194	42	2	0.3584
CoDi2.4	518	0.3013	0.3533	158	2	0.2141
CoDi3.1	624	0.4774	0.4856	197	2	0.9574
CoDi4.1	539	0.3355	0.2727	147	1	0.283
CoDi4.3	470	0.2794	0.2468	116	1	0.1351
CoDi4.4	461	0.2897	0.2343	108	1	0.2587
CoDi4.5	635	0.3491	0.3606	132	2	0.9564
CoDi5.1	352	0.4022	0.3381	89	3	0.5253
CoDi5.2	337	0.4004	0.5401	105	2	0.7395
CoDi5.3	332	0.2901	0.2922	70	2	0.6053
CoDi5.4	397	0.1993	0.1814	72	1	0.195
CoDi5.5	391	0.1235	0.0	0	0	0.1006
CoDi5.6	587	0.5537	0.632	253	3	0.457
CoDi6.1	482	0.2445	0.2676	129	1	0.1401
CoDi6.2	373	0.2203	0.252	94	1	0.264
CoDi6.3	343	0.2764	0.2711	93	1	0.1568
CoDi6.4	334	0.3574	0.3922	78	2	0.9592
CoDi6.5	392	0.3223	0.3087	72	2	0.2791
CoDi6.6	526	0.2802	0.3004	158	1	0.278
CoDi6.7	455	0.2248	0.2286	46	3	0.4898
CoDi7.1	484	0.3912	0.3926	174	2	0.2059
Copia	276	0.2226	0.2899	80	1	0.2486
CopiaSL_12	260	0.1892	0.1731	45	1	0.2116
CopiaSL_13	296	0.2688	0.3277	63	2	0.7464
CopiaSL_22	217	0.1349	0.0691	15	1	0.1651
CopiaSL_27	131	0.1537	0.0	0	0	0.17
CopiaSL_29	122	0.6949	1.0	122	1	0.4229
CopiaSL_30	238	0.3362	0.2395	57	1	0.3323
CopiaSL_32	219	0.3419	0.3242	71	1	0.2208
CopiaSL_34	202	0.2438	0.2178	44	1	0.1303
CopiaSL_38	124	0.0724	0.0	0	0	0.1005
CopiaSL_monotypic-Chr01_1s215	120	0.1951	0.0	0	0	0.206
CopiaSL_monotypic-Chr02_1s25	116	0.1706	0.0	0	0	0.1682
CopiaSL_monotypic-Chr02_2s24	187	0.3211	0.3476	43	2	0.1027
CopiaSL_monotypic-Chr03_2s19	36	0.393	1.0	36	1	0.393
CopiaSL_monotypic-Chr03_2s27	210	0.1244	0.0	0	0	0.1923
CopiaSL_monotypic-Chr04_2s44	197	0.1032	0.0812	16	1	0.3616
CopiaSL_monotypic-Chr04_2s50	26	0.7903	1.0	26	1	0.7903
CopiaSL_monotypic-Chr07_1s01	185	0.1101	0.0	0	0	0.2986
CopiaSL_monotypic-Chr08_1s11	181	0.0996	0.0	0	0	0.2197
CopiaSL_monotypic-Chr08_2s16	25	0.7485	1.0	25	1	0.7485
CopiaSL_monotypic-Chr08_2s43	194	0.2455	0.1134	22	1	0.5581
CopiaSL_monotypic-Chr08_2s69	237	0.1617	0.0844	20	1	0.6014
CopiaSL_monotypic-Chr11_2s25	284	0.1261	0.0	0	0	0.2833
CopiaSL_monotypic-Chr11_2s38	83	0.1637	0.0	0	0	0.1854
CopiaSL_monotypic-Chr11_2s39	116	0.1877	0.0	0	0	0.1499
CopiaSL_monotypic-Chr12_1s59	260	0.149	0.1692	44	1	0.1615
CopiaSL_monotypic-Chr12_2s29	61	0.2156	0.0	0	0	0.2276
CsRN1	250	0.2668	0.36	90	1	0.2065
Cubel	278	0.1932	0.1259	35	1	0.2625
Cyclops-2	666	0.485	0.509	255	2	0.5368
DRM	258	0.1456	0.0504	13	1	0.1736
Dane-1	263	0.3674	0.4297	113	1	0.1064
Del	289	0.3389	0.3564	103	1	0.16
Diaspora	660	0.5027	0.5424	160	4	0.6498
DrFV-1	674	0.5254	0.5519	135	4	0.4831
EFV	559	0.4337	0.415	171	3	0.1602
EIAV	427	0.1004	0.0	0	0	0.1277
Endovir1-1	603	0.362	0.272	70	3	0.0725
FFV	514	0.3598	0.3268	168	1	0.1075
FIV	422	0.1301	0.0403	17	1	0.2852
FeLV	493	0.3503	0.3164	109	2	0.2195
Fourf	258	0.4127	0.469	100	2	0.3915
G-Rhodo	397	0.4483	0.5819	160	2	0.9157
GALV	504	0.3469	0.3671	93	2	0.1956
Gabel	287	0.1875	0.0557	16	1	0.4657
GalEa1	312	0.4024	0.4615	144	1	0.2145
Galadriel	389	0.3118	0.3239	126	1	0.0847
Gimli	371	0.3418	0.2722	58	2	0.3271
Gloin	228	0.2512	0.3377	77	1	0.1523
Gmr1	297	0.4191	0.5152	136	2	0.5254
Grande1-4	437	0.5288	0.6018	143	2	0.7299
Grasshopper	349	0.3687	0.3266	114	1	0.3324
Gulliver	231	0.1068	0.0	0	0	0.182
Gypsy	451	0.4109	0.4257	154	2	0.7098
GypsySL_01	106	0.1619	0.0	0	0	0.176
GypsySL_02	106	0.1619	0.0	0	0	0.176
GypsySL_03	244	0.3447	0.2746	67	1	0.1176
GypsySL_04	298	0.3191	0.3087	67	2	0.6752
GypsySL_05	121	0.1366	0.124	15	1	0.32
GypsySL_06	273	0.3181	0.3077	84	1	0.109
GypsySL_09	155	0.178	0.1613	25	1	0.0867
GypsySL_12	326	0.3609	0.3006	81	2	0.2958
GypsySL_monotypic-Chr02_1s41	283	0.3239	0.2792	79	1	0.3389
GypsySL_monotypic-Chr03_1s10	233	0.2715	0.3004	70	1	0.1229
GypsySL_monotypic-Chr03_1s33	243	0.2299	0.1893	46	1	0.1377
GypsySL_monotypic-Chr04_2s29	226	0.1475	0.0885	20	1	0.1039
GypsySL_monotypic-Chr07_1s69	228	0.1265	0.0614	14	1	0.0787
Gypsyvir	451	0.3697	0.408	149	2	0.6586
HERV-E	493	0.2898	0.2617	85	2	0.1983
HERV-K10	645	0.3189	0.2853	109	2	0.2613
HFV	528	0.3939	0.3598	126	2	0.0713
HIV-1	436	0.2137	0.1399	35	2	0.2686
HIV-2	438	0.2167	0.1096	31	2	0.3839
HMS-Beagle	467	0.4638	0.4839	198	2	0.6562
HTLV-1	406	0.303	0.197	51	3	0.4847
HTLV-2	410	0.3297	0.2683	58	3	0.4545
Hopscotch	304	0.3486	0.3947	85	3	0.4624
Humnum	253	0.299	0.3043	77	1	0.1891
Hydra1-1	257	0.1321	0.0	0	0	0.1867
Hydra1-2	288	0.2557	0.2222	23	4	0.3869
Hydra2-1	274	0.2131	0.1277	35	1	0.2793
Hydra3-1	404	0.2379	0.1337	37	2	0.4977
Idefix	347	0.4364	0.438	152	1	0.1459
Ifg7	167	0.3223	0.4251	57	2	0.3863
JSRV	553	0.2371	0.1429	43	2	0.2465
K-HERV	695	0.3973	0.3899	205	2	0.2525
Kabuki	257	0.2323	0.2218	57	1	0.2059
KoRV	510	0.3646	0.398	107	2	0.1296
Koala	303	0.332	0.3399	87	2	0.4811
Kobel	280	0.1882	0.1321	37	1	0.1558
Koco	304	0.2706	0.2829	86	1	0.3603
LPDV	667	0.3763	0.3058	204	1	0.1715
Legolas	509	0.3799	0.3811	139	3	0.9611
MGLR3	459	0.4803	0.4336	108	4	0.9697
MMTV	569	0.2832	0.2496	142	1	0.1339
MPMV	594	0.2856	0.2391	107	2	0.0917
Mabel	287	0.2183	0.1533	44	1	0.1691
Mag	314	0.2712	0.2452	77	1	0.1828
Maggy	457	0.4134	0.3895	128	2	0.2822
Max	270	0.125	0.0	0	0	0.1409
MdEV	505	0.3227	0.3842	104	2	0.1276
Mdg1	451	0.3071	0.2284	103	1	0.1439
Mdg3	392	0.3827	0.3367	132	1	0.2093
Melmoth	405	0.3454	0.3333	74	2	0.9492
Micropia	276	0.2367	0.308	85	1	0.2973
Monkey	162	0.3807	0.4012	65	1	0.1017
Moose	271	0.118	0.0664	18	1	0.1657
Mtanga	267	0.3227	0.2921	78	1	0.1746
MuERV-L	414	0.3165	0.2923	89	2	0.5634
MuLV	518	0.3826	0.4073	117	2	0.1541
Nabel	353	0.1923	0.0963	34	1	0.2265
Ninja	273	0.1022	0.0	0	0	0.154
Nomad	417	0.4292	0.3933	164	1	0.1882
Olco1	267	0.1813	0.0	0	0	0.265
Opie-2	535	0.3477	0.2935	99	4	0.354
Oryco1-1	299	0.1439	0.0	0	0	0.2054
Oryco1-2	399	0.4098	0.4361	97	2	0.6984
Osser	334	0.4632	0.4491	150	1	0.2029
Osvaldo	413	0.3374	0.3317	70	3	0.0849
PERV-MSL	508	0.3484	0.3957	104	2	0.1605
Pao	276	0.1746	0.1087	30	1	0.1438
Peabody	354	0.2307	0.2147	39	2	0.5145
Poco	309	0.2323	0.1748	29	2	0.288
Purbel	465	0.2969	0.2731	49	4	0.4956
PyERV	561	0.3872	0.4296	137	3	0.591
PyRE1G1	308	0.3074	0.3312	65	2	0.562
Pyggy	402	0.3954	0.4453	93	2	0.4323
Pyret	638	0.5207	0.5016	233	2	0.3256
RCHO-K1	496	0.3632	0.3306	116	2	0.2295
REM1	556	0.4157	0.4406	101	3	0.81
REV	484	0.3868	0.3988	111	3	0.2108
RIRE2	740	0.6213	0.7676	424	2	0.6479
RSV	541	0.3496	0.342	118	2	0.2919
RTVL-Ia	232	0.4336	0.4224	98	1	0.2666
RTvr2	290	0.4474	0.469	116	2	0.5553
Real	406	0.4007	0.4631	102	2	0.3432
Reina	428	0.4386	0.3902	99	3	0.6088
RetroSor1	617	0.6072	0.6418	280	3	0.9607
Retrofit	310	0.2853	0.3484	91	2	0.4472
Retrosat-2	416	0.4524	0.4856	134	3	0.9201
Roo	266	0.082	0.0	0	0	0.1307
SA-OMVV	431	0.1371	0.0302	13	1	0.2885
SERV	595	0.2878	0.2521	98	2	0.0932
SFV-1	533	0.3945	0.364	119	2	0.09
SIRE1-4	538	0.371	0.4703	146	3	0.3659
SIVAGM	449	0.2312	0.1849	34	4	0.4139
SIVMAC	440	0.2049	0.1045	24	2	0.3479
SIVMND	435	0.2047	0.1287	26	3	0.2577
SMRV-H	663	0.5132	0.5098	260	3	0.4671
SPM	283	0.2766	0.2438	41	2	0.1423
SRV-1	595	0.319	0.2571	110	2	0.0959
STcLV2PP1664	410	0.3147	0.261	77	3	0.4719
SURL	274	0.3224	0.365	100	1	0.4164
Saci-6	288	0.1048	0.0	0	0	0.1077
Sinbad	285	0.0628	0.0	0	0	0.0972
Skipper	382	0.3882	0.3743	78	3	0.9319
Skippy	853	0.4665	0.5533	284	3	0.9571
SnRV	618	0.3476	0.3479	91	3	0.8086
Spirobel	434	0.2107	0.1406	39	2	0.1331
Springer	454	0.4321	0.4251	156	2	0.865
Sto-4	287	0.2306	0.1568	45	1	0.2205
Sushi-ichi	371	0.3583	0.3827	93	3	0.6351
Suzu	286	0.138	0.0	0	0	0.4411
TF1	266	0.2991	0.3195	68	2	0.3922
TF2	269	0.3157	0.2751	74	1	0.2474
TSI-9	811	0.4823	0.5388	220	2	0.3206
Tamy	269	0.1305	0.0	0	0	0.1723
Tas	271	0.2144	0.1661	45	1	0.1454
Tat4-1	545	0.5067	0.589	171	2	0.9019
Tdh2	335	0.2674	0.2597	46	2	0.8434
Ted	410	0.5147	0.5244	215	1	0.0955
Tft2	393	0.3447	0.3817	110	2	0.2089
Tkm1	421	0.5468	0.5511	189	2	0.9231
Tma	297	0.4118	0.33	98	1	0.9519
Tnt-1	261	0.3026	0.2835	74	1	0.1714
Tntom1	149	0.0886	0.0	0	0	0.0793
ToRTL1	660	0.3646	0.3924	145	4	0.4632
Tom	398	0.5606	0.5779	206	2	0.5617
Tor1	553	0.3995	0.387	151	2	0.1687
Tor2	376	0.2836	0.2021	33	3	0.3611
Tor4a	385	0.3006	0.2675	41	3	0.6605
Tork4	265	0.2984	0.3094	82	1	0.2319
Tribel	494	0.3313	0.3219	59	4	0.4122
Tricopia	269	0.2125	0.1041	28	1	0.187
Tse1	383	0.5404	0.6345	188	2	0.926
Tse3	255	0.3332	0.298	76	1	0.3464
Tto1	276	0.3956	0.413	114	1	0.4419
Tv1	261	0.3204	0.2912	76	1	0.154
Ty1B	431	0.5668	0.5916	174	2	0.9264
Ty2	424	0.5616	0.5755	172	2	0.9383
Ty3-1	307	0.3474	0.4202	95	2	0.7445
Ty4	410	0.2177	0.2146	53	2	0.6968
Ulysses	482	0.602	0.6286	204	2	0.9542
V12	272	0.2731	0.1618	44	1	0.2856
