seqid	protein_class	prot_len	mean_disorder	frac_disordered	has_prd
CGIN_EcCGIN1	CGIN	820	0.6639	0.6537	0
CGIN_BtCGIN1	CGIN	774	0.6725	0.6731	0
CGIN_CfCGIN1	CGIN	807	0.6707	0.6927	0
CGIN_HsCGIN1	CGIN	790	0.6582	0.662	0
CGIN_MmCGIN1	CGIN	738	0.5996	0.6111	0
CHR_CiCIN1	CHR	32	0.6603	1.0	0
CHR_SpCIN1	CHR	32	0.5536	1.0	0
CHR_XtCIN1	CHR	36	0.5372	1.0	0
CHR_CbCIN1	CHR	34	0.4449	1.0	0
CHR_ApCIN1n	CHR	36	0.229	0.0	0
CHR_ApCIN1q	CHR	36	0.2711	0.0	0
CHR_ApCIN1j	CHR	36	0.4592	1.0	0
CHR_ApCIN1a	CHR	36	0.2333	0.0	0
CHR_ApCIN1b	CHR	35	0.3725	0.0	0
CHR_ApCIN1e	CHR	36	0.2841	0.0	0
CHR_ApCIN1d	CHR	36	0.1967	0.0	0
CHR_DpCIN1	CHR	36	0.2629	0.0	0
CHR_GfCIN1	CHR	34	0.3344	1.0	0
CHR_NvCIN1	CHR	35	0.4243	1.0	0
CHR_SmCIN1	CHR	32	0.3509	1.0	0
CHR_MbCIN1	CHR	36	0.4315	1.0	0
TR_ApGINGER1f	TR	173	0.1314	0.0	0
TR_AcGINGER1-1	TR	323	0.2588	0.1331	0
TR_ApGINGER1a	TR	309	0.1625	0.0	0
TR_ApGINGER1d	TR	285	0.1156	0.0	0
TR_ApGINGER1e	TR	254	0.2184	0.1063	0
TR_ApGINGER1b	TR	278	0.1525	0.0576	0
TR_ApGINGER1c	TR	237	0.1157	0.0675	0
TR_BfGINGER1-1	TR	311	0.1573	0.0	0
TR_HmGINGER1-3	TR	309	0.11	0.0	0
TR_HmGINGER1	TR	309	0.1114	0.0	0
TR_HmGINNY1	TR	351	0.114	0.0	0
PR_ULP1_HmGINNY1	PR_ULP1	85	0.0951	0.0	0
PR_OTU_ApGINGER1a	PR_OTU	130	0.1749	0.0	0
PR_OTU_ApGINGER1e	PR_OTU	101	0.0934	0.0	0
PR_OTU_HmGINGER1-3	PR_OTU	125	0.1704	0.0	0
PR_OTU_HmGINGER1	PR_OTU	127	0.1725	0.0	0
TR_HmGINA2	TR	290	0.2985	0.2241	0
TR_HmGINA3	TR	376	0.1658	0.0931	0
TR_HmGINA4	TR	377	0.1657	0.0981	0
TR_HmGINA5	TR	380	0.1332	0.0526	0
PR_ULP1_HmGINA1	PR_ULP1	159	0.1279	0.0	0
PR_ULP1_HmGINA5	PR_ULP1	164	0.0858	0.0	0
PR_ULP1_HmGINO2	PR_ULP1	125	0.1555	0.0	0
PR_ULP1_HmGINO1	PR_ULP1	153	0.0818	0.0	0
TR_Tc1reverse_HmGINO1	TR	71	0.2259	0.0	0
TR_HmGINO1	TR	330	0.1546	0.0455	0
TR_HmGINO3	TR	330	0.1395	0.0485	0
TR_TsGINGER2-1_Repbaseaccession_Ginger2-1_TS	TR	521	0.1608	0.096	0
TR_TsGINGER2	TR	343	0.1553	0.0466	0
TR_TcGINGER2	TR	358	0.196	0.1592	0
TR_ISAf	TR	417	0.1141	0.036	0
TR_ISEc	TR	387	0.1617	0.0439	0
TR_ISLa	TR	598	0.4967	0.4682	0
TR_ISSc	TR	428	0.2303	0.1869	0
TR_ISTv1	TR	288	0.0724	0.0	0
TR_ISTv2	TR	402	0.2807	0.2114	0
TR_ISTv3	TR	301	0.1533	0.0	0
hAT_LaSCAND3	hAT	636	0.1656	0.1179	0
hAT_FcSCAND3	hAT	636	0.1726	0.1195	0
hAT_BtSCAND3	hAT	636	0.1566	0.1101	0
hAT_EcSCAND3	hAT	636	0.1671	0.1195	0
hAT_HsSCAND3	hAT	636	0.1594	0.1085	0
hAT_CfSCAND3	hAT	636	0.1707	0.1179	0
hAT_SsSCAND3	hAT	636	0.1722	0.1226	0
hAT_TtSCAND3	hAT	636	0.1643	0.1179	0
hAT_OcSCAND3	hAT	620	0.1497	0.0694	0
hAT_PvSCAND3	hAT	633	0.19	0.188	0
hAT_DnSCAND3	hAT	635	0.1609	0.1181	0
TR_FcSCAND3	TR	499	0.3449	0.3186	0
TR_BtSCAND3	TR	499	0.2959	0.2926	0
TR_EcSCAND3	TR	499	0.306	0.2986	0
TR_HsSCAND3	TR	498	0.3209	0.2972	0
TR_CfSCAND3	TR	500	0.2835	0.202	0
TR_SsSCAND3	TR	499	0.2876	0.2104	0
TR_TtSCAND3	TR	492	0.2941	0.2927	0
TR_LaSCAND3-3	TR	422	0.2413	0.1303	0
TR_MeSCAND3	TR	360	0.3503	0.325	0
TR_ChSCAND3	TR	253	0.216	0.166	0
TR_DnSCAND3	TR	498	0.3532	0.3414	0
SCAN-A2_BtSCAND3	SCAN-A2	119	0.1503	0.0	0
SCAN-A2_EcSCAND3	SCAN-A2	119	0.1686	0.0	0
SCAN-A2_HsSCAND3	SCAN-A2	119	0.1627	0.0	0
SCAN-A2_CfSCAND3	SCAN-A2	119	0.2277	0.0	0
SCAN-A2_SsSCAND3	SCAN-A2	119	0.1806	0.0	0
KRAB-A_HsKRBA2	KRAB-A	48	0.6985	1.0	0
KRAB-A_EcKRBA2	KRAB-A	48	0.5646	1.0	0
KRAB-A_LaKRBA2	KRAB-A	44	0.5054	1.0	0
KRAB-A_CfKRBA2	KRAB-A	48	0.388	1.0	0
KRAB-A_OcKRBA2	KRAB-A	39	0.5654	1.0	0
KRAB-A_PvKRBA2	KRAB-A	25	0.47	0.0	0
KRAB-A_ChKRBA2	KRAB-A	48	0.5794	1.0	0
KRAB-A_DnKRBA2	KRAB-A	45	0.4251	1.0	0
TR_HsKRBA2	TR	417	0.2218	0.1415	0
TR_EcKRBA2	TR	418	0.2331	0.1627	0
TR_FcKRBA2	TR	418	0.2511	0.1579	0
TR_CfKRBA2	TR	418	0.2304	0.1507	0
TR_BtKRBA2	TR	418	0.2538	0.1603	0
TR_TtKRBA2	TR	418	0.2367	0.1507	0
TR_ChKRBA2	TR	418	0.2468	0.1435	0
TR_DnKRBA2	TR	414	0.2237	0.1353	0
TR_Tdd5	TR	625	0.3302	0.2592	0
TR_Tdd4	TR	682	0.3287	0.2595	0
INT_AgFOB1	INT	534	0.3125	0.2921	0
INT_CgFOB1	INT	536	0.266	0.2463	0
INT_LtFOB1	INT	508	0.2927	0.2697	0
INT_ScFOB1	INT	566	0.4039	0.3498	0
INT_ZrFOB1	INT	586	0.4023	0.3805	0
INT_ApBIN1g	INT	486	0.5272	0.5494	0
INT_ApBIN1h	INT	485	0.2035	0.099	0
INT_ApBIN1a	INT	456	0.1905	0.0	0
INT_ApBIN1b	INT	288	0.299	0.2535	0
INT_ApBIN1c	INT	346	0.3534	0.341	0
INT_ApBIN1d	INT	407	0.2103	0.1229	0
INT_ApBIN1e	INT	713	0.4114	0.3633	0
INT_ApBIN1j	INT	484	0.3912	0.4959	0
INT_ApBIN1l	INT	321	0.1324	0.0717	0
INT_ApBIN1m	INT	270	0.1184	0.0	0
INT_ApBIN1o	INT	195	0.1061	0.0	0
INT_ApGIN3a	INT	523	0.1176	0.0402	0
INT_ApGIN3b	INT	258	0.0729	0.0	0
INT_ApGIN3c	INT	346	0.2691	0.1936	0
INT_ApGIN4a	INT	325	0.1364	0.0	0
