tip	element	group	superfamily	host	clade	on_copia_tree	rt_len	short_rt	gag_len	llr	has_prd	prd_start	prd_end	prd_mid_pct	prd_zone	cchc	cchc_n
17.6	17.6	named	Ty3/Gypsy	Drosophila melanogaster	17.6	0	230	0	439	32.396	1	216	337	63.0	middle	0	0
1731	1731	named	Ty1/Copia	Drosophila melanogaster	1731	1	253	0	273	-32.022	0				no PrLD	1	1
297	297	named	Ty3/Gypsy	Drosophila melanogaster	17.6	0	230	0	414	24.203	1	205	320	63.4	middle	0	0
412	412	named	Ty3/Gypsy	Drosophila melanogaster	412/Mdg1	0	231	0	687	49.195	1	584	687	92.5	C-terminal	0	0
ASSBSV	ASSBSV	named	Retroviridae	Salmo salar	Undetermined	0	230	0	749	14.059	1	630	749	92.1	C-terminal	1	1
Amn-ichi	Amn-ichi	named	Ty3/Gypsy	Anolis carolinensis	V-clade	0	232	0	328	-16.329	0				no PrLD	0	0
Amn-ni	Amn-ni	named	Ty3/Gypsy	Danio rerio	V-clade	0	233	0	330	-17.887	0				no PrLD	1	1
Amn-san	Amn-san	named	Ty3/Gypsy	Xenopus (Silurana) tropicalis	V-clade	0	233	0	346	-13.745	0				no PrLD	1	1
Araco	Araco	named	Ty1/Copia	Arabidopsis thaliana	Oryco	1	251	0	320	-2.943	0				no PrLD	1	1
Athila4-1	Athila4-1	named	Ty3/Gypsy	Arabidopsis thaliana	Athila	0	244	0	615	22.640	1	325	404	59.3	middle	0	0
B1147A04.5	B1147A04.5	named	Ty3/Gypsy	Oryza sativa	Tat	0	212	0	339	-15.916	0				no PrLD	0	0
BAEVM	BAEVM	named	Retroviridae	Mandrill sp.	Undetermined	0	237	0	518	-6.583	0				no PrLD	1	1
BFV	BFV	named	Retroviridae	Bovidae sp.	Undetermined	0	223	0	544	24.777	1	382	544	85.1	C-terminal	0	0
BIV	BIV	named	Retroviridae	Bovidae sp.	Bovine lentiviruses	0	231	0	449	-12.542	0				no PrLD	1	2
BLV	BLV	named	Retroviridae	Bovidae sp.	Oncovirinae C-type	0	233	0	392	2.343	0				no PrLD	1	1
Bagy-1	Bagy-1	named	Ty3/Gypsy	Hordeum vulgare	Del	0	217	0	334	-5.083	0				no PrLD	0	0
Bagy-2	Bagy-2	named	Ty3/Gypsy	Hordeum vulgare	Athila	0	243	0	386	-20.636	0				no PrLD	0	0
Batata	Batata	named	Ty1/Copia	Ipomoea batatas	Tork	1	254	0	276	-19.587	0				no PrLD	0	0
Beetle1	Beetle1	named	Ty3/Gypsy	Beta vulgaris	CRM	0	225	0	359	-22.231	0				no PrLD	1	1
Bel	Bel	named	Bel/Pao	Drososphila melanogaster	Bel	0	379	0	268	-20.519	0				no PrLD	1	1
Blastopia	Blastopia	named	Ty3/Gypsy	Drosophila melanogaster	Micropia/Mdg3	0	226	0	318	-31.123	0				no PrLD	1	2
Boudicca	Boudicca	named	Ty3/Gypsy	Schistosoma mansoni	CsRN1	0	224	0	274	-15.535	0				no PrLD	0	0
Burdock	Burdock	named	Ty3/Gypsy	Drosophila melanogaster	Gypsy	0	231	0	497	26.076	1	364	430	79.9	C-terminal	0	0
CAEV	CAEV	named	Retroviridae	Capra pyrenaica	Ovine/Caprine lentiviruses	0	234	0	426	-1.586	0				no PrLD	1	2
CFG1	CFG1	named	Ty3/Gypsy	Chlamys farresi	A-clade	0	233	0	298	-4.947	0				no PrLD	1	1
CRM	CRM	named	Ty3/Gypsy	Zea mays	CRM	0	225	0	408	-5.211	0				no PrLD	1	1
Calypso5-1	Calypso5-1	named	Ty3/Gypsy	Glycine max	Athila	0	241	0	427	18.335	1	236	300	62.8	middle	0	0
Cer1	Cer1	named	Ty3/Gypsy	Caenorhabditis elegans	Cer1	0	225	0	733	13.261	0				no PrLD	1	1
Cer10-1	Cer10-1	named	Bel/Pao	Caenorhabditis elegans	Tas	0	376	0	360	-8.202	0				no PrLD	0	0
Cer2	Cer2	named	Ty3/Gypsy	Caenorhabditis elegans	Cer2-3	0	223	0	613	-5.519	0				no PrLD	1	1
Cer3	Cer3	named	Ty3/Gypsy	Caenorhabditis elegans	Cer2-3	0	223	0	514	-2.580	0				no PrLD	0	0
Cer4	Cer4	named	Ty3/Gypsy	Caenorhabditis elegans	B-clade	0	226	0	311	-22.580	0				no PrLD	1	1
Cer5	Cer5	named	Ty3/Gypsy	Caenorhabditis elegans	B-clade	0	226	0	264	-21.598	0				no PrLD	1	1
Cer6	Cer6	named	Ty3/Gypsy	Caenorhabditis elegans	B-clade	0	226	0	364	-18.706	0				no PrLD	1	1
Cer7	Cer7	named	Bel/Pao	Caenorhabditis elegans	Tas	0	373	0	265	-27.462	0				no PrLD	1	3
Cereba	Cereba	named	Ty3/Gypsy	Hordeum vulgare	CRM	0	224	0	382	-4.946	0				no PrLD	1	1
Cft-1	Cft-1	named	Ty3/Gypsy	Cladosporium fulvum	Pyret	0	226	0	639	-10.556	0				no PrLD	1	1
Cgret	Cgret	named	Ty3/Gypsy	Colletotrichum gloeosporioides	Pyret	0	225	0	837	13.718	1	293	358	38.9	middle	1	1
Cico1	Cico1	named	Ty1/Copia	Ciona intestinalis	GalEA	1	246	0	255	-22.211	0				no PrLD	1	1
Cigr-1	Cigr-1	named	Ty3/Gypsy	Ciona intestinalis	Cigr-1	0	226	0	300	-10.768	0				no PrLD	1	2
Circe	Circe	named	Ty3/Gypsy	Drosophila melanogaster	Osvaldo	0	195	0	299	-15.490	0				no PrLD	1	1
CoDi2.4	CoDi2.4	named	Ty1/Copia	Phaeodactylum tricornutum	CoDi-I	1	253	0	518	-8.923	0				no PrLD	0	0
CoDi3.1	CoDi3.1	named	Ty1/Copia	Phaeodactylum tricornutum	CoDi-I	1	254	0	624	-6.362	0				no PrLD	0	0
CoDi4.1	CoDi4.1	named	Ty1/Copia	Phaeodactylum tricornutum	CoDi-I	1	216	0	539	-7.787	0				no PrLD	0	0
CoDi4.3	CoDi4.3	named	Ty1/Copia	Phaeodactylum tricornutum	CoDi-I	1	256	0	470	-3.928	0				no PrLD	0	0
CoDi4.4	CoDi4.4	named	Ty1/Copia	Phaeodactylum tricornutum	CoDi-I	1	260	0	461	-10.385	0				no PrLD	0	0
CoDi4.5	CoDi4.5	named	Ty1/Copia	Thalassiosira pseudonana	CoDi-I	1	255	0	635	-17.422	0				no PrLD	0	0
CoDi5.1	CoDi5.1	named	Ty1/Copia	Phaeodactylum tricornutum	CoDi-II	1	269	0	352	-4.943	0				no PrLD	0	0
CoDi5.2	CoDi5.2	named	Ty1/Copia	Phaeodactylum tricornutum	CoDi-II	1	269	0	337	-15.164	0				no PrLD	0	0
CoDi5.3	CoDi5.3	named	Ty1/Copia	Phaeodactylum tricornutum	CoDi-II	1	269	0	332	-16.888	0				no PrLD	0	0
CoDi5.4	CoDi5.4	named	Ty1/Copia	Thalassiosira pseudonana	CoDi-II	1	271	0	397	-19.506	0				no PrLD	0	0
CoDi5.5	CoDi5.5	named	Ty1/Copia	Thalassiosira pseudonana	CoDi-II	1	272	0	391	-15.466	0				no PrLD	0	0
CoDi5.6	CoDi5.6	named	Ty1/Copia	Thalassiosira pseudonana	CoDi-II	1	273	0	587	17.836	1	364	444	68.8	C-terminal	0	0
CoDi6.1	CoDi6.1	named	Ty1/Copia	Thalassiosira pseudonana	CoDi-C	1	255	0	482	-7.585	0				no PrLD	0	0
CoDi6.2	CoDi6.2	named	Ty1/Copia	Thalassiosira pseudonana	CoDi-D	1	249	0	373	-22.754	0				no PrLD	1	2
CoDi6.3	CoDi6.3	named	Ty1/Copia	Thalassiosira pseudonana	CoDi-D	1	250	0	343	-26.068	0				no PrLD	1	2
